time, 0.00              ,   5.0000000000E-01,   1.0000000000E+00,   1.5000000000E+00,   2.0000000000E+00,   2.5000000000E+00,   3.0000000000E+00,   3.5000000000E+00,   4.0000000000E+00,   4.5000000000E+00,   5.0000000000E+00,   5.5000000000E+00,   6.0000000000E+00,   6.5000000000E+00,   7.0000000000E+00,   7.5000000000E+00,   8.0000000000E+00,   8.5000000000E+00,   9.0000000000E+00,   9.5000000000E+00,   1.0000000000E+01,   1.0010000000E+01,   1.0500000000E+01,   1.1000000000E+01,   1.1500000000E+01,   1.2000000000E+01,   1.2500000000E+01,   1.3000000000E+01,   1.3500000000E+01,   1.4000000000E+01,   1.4500000000E+01,   1.5000000000E+01
u,   1.0000000000E+00,   3.0000000000E+00,   5.0000000000E+00,   7.0000000000E+00,   8.0000000000E+00,   8.0000000000E+00,   8.0000000000E+00,   8.0000000000E+00,   7.7755584459E+00,   5.7755584459E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00,   4.7841595984E+00
x,   1.0000000000E+00,   1.0545243619E+00,   1.3892447823E+00,   1.9775068796E+00,   2.7917115615E+00,   3.6676740348E+00,   4.4603082914E+00,   5.1775411453E+00,   5.8257642328E+00,   6.3741180864E+00,   6.5884357305E+00,   6.6443520886E+00,   6.6949492572E+00,   6.7407332381E+00,   6.7821618983E+00,   6.8196495490E+00,   6.8535710891E+00,   6.8842657542E+00,   6.9120405091E+00,   6.9371731180E+00,   6.9599149219E+00,   6.9603471384E+00,   6.9804937864E+00,   6.9991145986E+00,   7.0159640574E+00,   7.0312106675E+00,   7.0450069040E+00,   7.0574907375E+00,   7.0687870137E+00,   7.0790087022E+00,   7.0882580259E+00,   7.0966274835E+00
y,   1.0000000000E+00,   1.0545243619E+00,   1.3892447823E+00,   1.9775068796E+00,   2.7917115615E+00,   3.6676740348E+00,   4.4603082914E+00,   5.1775411453E+00,   5.8257642328E+00,   6.3741180864E+00,   6.5884357305E+00,   6.6443520886E+00,   6.6949492572E+00,   6.7407332381E+00,   6.7821618983E+00,   6.8196495490E+00,   6.8535710891E+00,   6.8842657542E+00,   6.9120405091E+00,   6.9371731180E+00,   6.9599149219E+00,   6.9603471384E+00,   6.9804937864E+00,   6.9991145986E+00,   7.0159640574E+00,   7.0312106675E+00,   7.0450069040E+00,   7.0574907375E+00,   7.0687870137E+00,   7.0790087022E+00,   7.0882580259E+00,   7.0966274835E+00
y.tau,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00
y.tr_hi,   1.1000000000E+00,   2.4246753247E+00,   3.4568898634E+00,   4.2612128806E+00,   4.8879580887E+00,   5.3763309782E+00,   5.7568812817E+00,   6.0534139858E+00,   6.2844784305E+00,   6.4645286471E+00,   6.6048275172E+00,   6.7141513121E+00,   6.7993386848E+00,   6.8657184557E+00,   6.9174429525E+00,   6.9577477552E+00,   6.9891540949E+00,   7.0136265675E+00,   7.0326960266E+00,   7.0475553454E+00,   7.0591340354E+00,   7.0593378550E+00,   7.0681573392E+00,   7.0751875371E+00,   7.0806656133E+00,   7.0849342441E+00,   7.0882604500E+00,   7.0908522987E+00,   7.0928719211E+00,   7.0944456528E+00,   7.0956719372E+00,   7.0966274835E+00
y.tr_lo,   9.0000000000E-01,   2.2246753247E+00,   3.2568898634E+00,   4.0612128806E+00,   4.6879580887E+00,   5.1763309782E+00,   5.5568812817E+00,   5.8534139858E+00,   6.0844784305E+00,   6.2645286471E+00,   6.4048275172E+00,   6.5141513121E+00,   6.5993386848E+00,   6.6657184557E+00,   6.7174429525E+00,   6.7577477552E+00,   6.7891540949E+00,   6.8136265675E+00,   6.8326960266E+00,   6.8475553454E+00,   6.8591340354E+00,   6.8593378550E+00,   6.8681573392E+00,   6.8751875371E+00,   6.8806656133E+00,   6.8849342441E+00,   6.8882604500E+00,   6.8908522987E+00,   6.8928719211E+00,   6.8944456528E+00,   6.8956719372E+00,   6.8966274835E+00
y.trs_hi,   1.1000000000E+00,   2.4246753247E+00,   3.4568898634E+00,   4.2612128806E+00,   4.8879580887E+00,   5.3763309782E+00,   5.7568812817E+00,   6.0534139858E+00,   6.2844784305E+00,   6.4645286471E+00,   6.6048275172E+00,   6.7141513121E+00,   6.7993386848E+00,   6.8657184557E+00,   6.9174429525E+00,   6.9577477552E+00,   6.9891540949E+00,   7.0136265675E+00,   7.0326960266E+00,   7.0475553454E+00,   7.0591340354E+00,   7.0593378550E+00,   7.0681573392E+00,   7.0751875371E+00,   7.0806656133E+00,   7.0849342441E+00,   7.0882604500E+00,   7.0908522987E+00,   7.0928719211E+00,   7.0944456528E+00,   7.0956719372E+00,   7.0966274835E+00
y.trs_lo,   9.0000000000E-01,   2.2246753247E+00,   3.2568898634E+00,   4.0612128806E+00,   4.6879580887E+00,   5.1763309782E+00,   5.5568812817E+00,   5.8534139858E+00,   6.0844784305E+00,   6.2645286471E+00,   6.4048275172E+00,   6.5141513121E+00,   6.5993386848E+00,   6.6657184557E+00,   6.7174429525E+00,   6.7577477552E+00,   6.7891540949E+00,   6.8136265675E+00,   6.8326960266E+00,   6.8475553454E+00,   6.8591340354E+00,   6.8593378550E+00,   6.8681573392E+00,   6.8751875371E+00,   6.8806656133E+00,   6.8849342441E+00,   6.8882604500E+00,   6.8908522987E+00,   6.8928719211E+00,   6.8944456528E+00,   6.8956719372E+00,   6.8966274835E+00
y.sp_hi,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00
