time, 0.00              ,   5.0000000000E-01,   1.0000000000E+00,   1.5000000000E+00,   2.0000000000E+00,   2.5000000000E+00,   3.0000000000E+00,   3.5000000000E+00,   4.0000000000E+00,   4.5000000000E+00,   5.0000000000E+00,   5.5000000000E+00,   6.0000000000E+00,   6.5000000000E+00,   7.0000000000E+00,   7.5000000000E+00,   8.0000000000E+00,   8.5000000000E+00,   9.0000000000E+00,   9.5000000000E+00,   1.0000000000E+01,   1.0010000000E+01,   1.0500000000E+01,   1.1000000000E+01,   1.1500000000E+01,   1.2000000000E+01,   1.2500000000E+01,   1.3000000000E+01,   1.3500000000E+01,   1.4000000000E+01,   1.4500000000E+01,   1.5000000000E+01
u,   1.0000000000E+00,   3.0000000000E+00,   5.0000000000E+00,   7.0000000000E+00,   8.0000000000E+00,   8.0000000000E+00,   8.0000000000E+00,   8.0000000000E+00,   6.0000000000E+00,   5.0567295435E+00,   5.0567295435E+00,   4.9782458593E+00,   4.9025966875E+00,   4.8420773500E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00,   4.7963457946E+00
x,   1.0000000000E+00,   1.0476000000E+00,   1.3762684800E+00,   1.9592477207E+00,   2.7723273377E+00,   3.6508017751E+00,   4.4456454462E+00,   5.1648199997E+00,   5.8155291357E+00,   6.1186907620E+00,   6.2582923803E+00,   6.3846039245E+00,   6.4876831396E+00,   6.5701465117E+00,   6.6361172093E+00,   6.6892770305E+00,   6.7373760366E+00,   6.7808960174E+00,   6.8202728960E+00,   6.8559010958E+00,   6.8881374909E+00,   6.9173049813E+00,   6.9436957265E+00,   6.9675740728E+00,   6.9891792006E+00,   7.0087275201E+00,   7.0264148397E+00,   7.0424183264E+00,   7.0568982812E+00,   7.0699997443E+00,   7.0818539481E+00,   7.0925796317E+00
y,   1.0000000000E+00,   1.0476000000E+00,   1.3762684800E+00,   1.9592477207E+00,   2.7723273377E+00,   3.6508017751E+00,   4.4456454462E+00,   5.1648199997E+00,   5.8155291357E+00,   6.1186907620E+00,   6.2582923803E+00,   6.3846039245E+00,   6.4876831396E+00,   6.5701465117E+00,   6.6361172093E+00,   6.6892770305E+00,   6.7373760366E+00,   6.7808960174E+00,   6.8202728960E+00,   6.8559010958E+00,   6.8881374909E+00,   6.9173049813E+00,   6.9436957265E+00,   6.9675740728E+00,   6.9891792006E+00,   7.0087275201E+00,   7.0264148397E+00,   7.0424183264E+00,   7.0568982812E+00,   7.0699997443E+00,   7.0818539481E+00,   7.0925796317E+00
y.tau,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00,   2.0000000000E+00
y.tr_hi,   1.1000000000E+00,   2.3000000000E+00,   3.2600000000E+00,   4.0280000000E+00,   4.6424000000E+00,   5.1339200000E+00,   5.5271360000E+00,   5.8417088000E+00,   6.0933670400E+00,   6.2946936320E+00,   6.4557549056E+00,   6.5846039245E+00,   6.6876831396E+00,   6.7701465117E+00,   6.8361172093E+00,   6.8888937675E+00,   6.9311150140E+00,   6.9648920112E+00,   6.9919136089E+00,   7.0135308872E+00,   7.0308247097E+00,   7.0311688654E+00,   7.0447139481E+00,   7.0557711585E+00,   7.0646169268E+00,   7.0716935414E+00,   7.0773548331E+00,   7.0818838665E+00,   7.0855070932E+00,   7.0884056746E+00,   7.0907245397E+00,   7.0925796317E+00
y.tr_lo,   9.0000000000E-01,   2.1000000000E+00,   3.0600000000E+00,   3.8280000000E+00,   4.4424000000E+00,   4.9339200000E+00,   5.3271360000E+00,   5.6417088000E+00,   5.8933670400E+00,   6.0946936320E+00,   6.2557549056E+00,   6.3846039245E+00,   6.4876831396E+00,   6.5701465117E+00,   6.6361172093E+00,   6.6888937675E+00,   6.7311150140E+00,   6.7648920112E+00,   6.7919136089E+00,   6.8135308872E+00,   6.8308247097E+00,   6.8311688654E+00,   6.8447139481E+00,   6.8557711585E+00,   6.8646169268E+00,   6.8716935414E+00,   6.8773548331E+00,   6.8818838665E+00,   6.8855070932E+00,   6.8884056746E+00,   6.8907245397E+00,   6.8925796317E+00
y.trs_hi,   1.1000000000E+00,   2.3000000000E+00,   3.2600000000E+00,   4.0280000000E+00,   4.6424000000E+00,   5.1339200000E+00,   5.5271360000E+00,   5.8417088000E+00,   6.0933670400E+00,   6.2946936320E+00,   6.4557549056E+00,   6.5846039245E+00,   6.6876831396E+00,   6.7701465117E+00,   6.8361172093E+00,   6.8888937675E+00,   6.9311150140E+00,   6.9648920112E+00,   6.9919136089E+00,   7.0135308872E+00,   7.0308247097E+00,   7.0311688654E+00,   7.0447139481E+00,   7.0557711585E+00,   7.0646169268E+00,   7.0716935414E+00,   7.0773548331E+00,   7.0818838665E+00,   7.0855070932E+00,   7.0884056746E+00,   7.0907245397E+00,   7.0925796317E+00
y.trs_lo,   9.0000000000E-01,   2.1000000000E+00,   3.0600000000E+00,   3.8280000000E+00,   4.4424000000E+00,   4.9339200000E+00,   5.3271360000E+00,   5.6417088000E+00,   5.8933670400E+00,   6.0946936320E+00,   6.2557549056E+00,   6.3846039245E+00,   6.4876831396E+00,   6.5701465117E+00,   6.6361172093E+00,   6.6888937675E+00,   6.7311150140E+00,   6.7648920112E+00,   6.7919136089E+00,   6.8135308872E+00,   6.8308247097E+00,   6.8311688654E+00,   6.8447139481E+00,   6.8557711585E+00,   6.8646169268E+00,   6.8716935414E+00,   6.8773548331E+00,   6.8818838665E+00,   6.8855070932E+00,   6.8884056746E+00,   6.8907245397E+00,   6.8925796317E+00
y.sp_hi,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00,   7.1000000000E+00
